Index,Part1,Part2,Part3,Part4,Formatted Question,Question Type_new,All_Correct_Answers,Option 1,Option 2,Option 3,Option 4,Option 5
1,भोपाल,मध्य प्रदेश,भुवनेश्वर,उड़ीसा,भोपाल : मध्य प्रदेश :: भुवनेश्वर : ?,1,उड़ीसा,गुजरात,उड़ीसा,राजस्थान,अरुणाचल प्रदेश,
2,रूस,मास्को,जर्मनी,बर्लिन,रूस : मास्को :: जर्मनी : ?,1,बर्लिन,हवाना,ओस्लो,बर्लिन,काबुल,
3,बाइबिल,ईसाई,कुरान,इस्लाम,बाइबिल : ईसाई :: कुरान : ?,1,इस्लाम,इस्लाम,सिक्ख,जैन,हिन्दू,
4,बिल्ली,म्याऊ,घोड़ा,हिनहिनाना,बिल्ली : म्याऊ :: घोड़ा : ?,1,हिनहिनाना,रेकना,हिनहिनाना,दौड़ना,दहाड़ना,
5,न्यायालय,न्याय,अस्पताल,उपचार,न्यायालय : न्याय :: अस्पताल : ?,2,उपचार,पढ़ाई,उपचार,यातायात,कैदी,
6,फूल,माला,ईट,घर,फूल : माला :: ईट : ?,2,घर,वर्षा,मिनट,वृक्ष,घर,
7,गैराज,मोटरकार,अस्तबल,घोडा,गैराज : मोटरकार :: अस्तबल : ?,2,घोडा,बस,मरीज,घोडा,गाय,
8,राजा,रानी,घोड़े,घोड़ी,राजा : रानी :: घोड़े : ?,1,घोड़ी,गाय,घोड़ी,जानवर,गधा,
9,विचार,मस्तिष्क,बादल,आसमान,विचार : मस्तिष्क :: बादल : ?,1,आसमान,साहित्य,कविता,पानी,आसमान,
10,देश,राष्ट्रपति,राज्य,राज्यपाल,देश : राष्ट्रपति :: राज्य : ?,1,राज्यपाल,मुख्यमंत्री,केन्द्रीय मंत्री,राज्यपाल,राज्यमंत्री,
11,कुल्हाड़ी,काटना,गोद,चिपकाना,कुल्हाड़ी : काटना :: गोद : ?,1,चिपकाना,अक्षर,कागज,चिपकाना,चबाना,
12,शेर,मांस,गाय,घास,शेर : मांस :: गाय : ?,1,घास,साँप,घास,कीड़ा,पशु,
