key,value
modify_toml.title,"2. 让我们修改 pyproject.toml"
modify_toml.error.project_not_found,"未找到项目目录。请先完成之前的教程。"
modify_toml.error.toml_not_found,"未找到 pyproject.toml。请先完成之前的教程。"
modify_toml.error.toml_decode,"无法解码为 toml，您是否正确编写了？ {}"
modify_toml.update_python.instruction,"现在我们需要使用 mcp 库，它需要 Python 3.10，所以请更新最低 Python 版本。"
modify_toml.update_python.modify,"修改 requires_python"
modify_toml.script_entry.instruction,"我们还需要在 pyproject.toml 文件中添加脚本入口。"
modify_toml.script_entry.add,"在 [project] 下添加以下内容："
modify_toml.script_entry.explanation,"此修改将告知执行入口点。"
modify_toml.script_entry.detail,"mcp_weather 从 ./src 文件夹中搜索，然后是 mcp_weather > main"
modify_toml.current_content,"当前 pyproject.toml 内容："
modify_toml.menu.prompt,"您想要："
modify_toml.menu.edit,"1. 编辑文件"
modify_toml.menu.check,"2. 检查更改是否正确"
modify_toml.menu.editor,"3. 更改编辑器"
modify_toml.menu.exit,"4. 退出"
modify_toml.menu.choice,"输入您的选择 (1-4)："
modify_toml.editor.opening,"正在在 {} 中打开文件..."
modify_toml.editor.opened,"文件已在编辑器中打开。进行更改并保存文件。"
modify_toml.editor.check_after,"保存后，您可以检查更改是否正确。"
modify_toml.editor.failed,"无法在编辑器中打开文件。请重试。"
modify_toml.check.success,"正确！您已成功添加脚本入口。"
modify_toml.check.test,"让我们测试命令是否有效："
modify_toml.check.next_tutorial,"哦！我们添加了入口点 mcp_weather:main，但还没有 main 函数！\n让我们在下一个教程中修改它"
modify_toml.check.script_incorrect,"脚本入口不正确。请重试。"
modify_toml.check.section_missing,"缺少 [project.scripts] 部分。请重试。"
modify_toml.editor.available,"可用的编辑器："
modify_toml.editor.vscode,"1. VS Code (code)"
modify_toml.editor.sublime,"2. Sublime Text (subl)"
modify_toml.editor.nano,"3. Nano (nano)"
modify_toml.editor.vim,"4. Vim (vim)"
modify_toml.editor.choice,"输入您的选择 (1-4)："
modify_toml.check.field_missing,"项目中缺少必需字段 {}"
