PDB_ids,Dates,Project,Title,duration_month
AF01,06/01/21,AlphaFold,AlphaFold project study 1,3
AF02,01/13/21,AlphaFold,AlphaFold project study 2,24
AF03,08/24/18,AlphaFold,AlphaFold project study 3,20
AF04,01/21/22,AlphaFold,AlphaFold project study 4,8
AF05,08/04/23,AlphaFold,AlphaFold project study 5,24
AF06,07/15/23,AlphaFold,AlphaFold project study 6,16
AF07,07/17/21,AlphaFold,AlphaFold project study 7,14
AF08,12/07/18,AlphaFold,AlphaFold project study 8,10
AF09,06/27/21,AlphaFold,AlphaFold project study 9,10
AF10,11/03/23,AlphaFold,AlphaFold project study 10,4
AF11,12/17/23,AlphaFold,AlphaFold project study 11,15
AF12,03/25/19,AlphaFold,AlphaFold project study 12,4
AF13,05/20/20,AlphaFold,AlphaFold project study 13,3
AF14,04/22/21,AlphaFold,AlphaFold project study 14,14
AF15,03/26/21,AlphaFold,AlphaFold project study 15,10
AF16,06/13/20,AlphaFold,AlphaFold project study 16,4
AF17,11/15/23,AlphaFold,AlphaFold project study 17,3
AF18,10/23/23,AlphaFold,AlphaFold project study 18,10
AF19,08/30/23,AlphaFold,AlphaFold project study 19,18
AF20,05/01/18,AlphaFold,AlphaFold project study 20,7
AF21,03/21/18,AlphaFold,AlphaFold project study 21,21
AF22,09/21/22,AlphaFold,AlphaFold project study 22,4
AF23,10/08/18,AlphaFold,AlphaFold project study 23,18
AF24,06/29/23,AlphaFold,AlphaFold project study 24,1
AF25,04/26/19,AlphaFold,AlphaFold project study 25,13
PD01,04/01/20,PDB,PDB project study 1,19
PD02,07/26/19,PDB,PDB project study 2,24
PD03,05/06/20,PDB,PDB project study 3,23
PD04,11/29/21,PDB,PDB project study 4,5
PD05,07/30/21,PDB,PDB project study 5,15
PD06,02/22/20,PDB,PDB project study 6,10
PD07,12/01/18,PDB,PDB project study 7,16
PD08,03/29/23,PDB,PDB project study 8,23
PD09,03/08/22,PDB,PDB project study 9,5
PD10,08/02/20,PDB,PDB project study 10,6
PD11,09/03/19,PDB,PDB project study 11,15
PD12,01/20/18,PDB,PDB project study 12,18
PD13,01/14/20,PDB,PDB project study 13,8
PD14,05/12/20,PDB,PDB project study 14,20
PD15,07/31/22,PDB,PDB project study 15,1
PD16,08/25/20,PDB,PDB project study 16,5
PD17,12/11/20,PDB,PDB project study 17,7
PD18,03/29/21,PDB,PDB project study 18,10
PD19,10/07/20,PDB,PDB project study 19,12
PD20,08/29/20,PDB,PDB project study 20,10
PD21,03/16/20,PDB,PDB project study 21,23
PD22,09/23/23,PDB,PDB project study 22,1
PD23,04/23/18,PDB,PDB project study 23,5
PD24,04/27/23,PDB,PDB project study 24,8
PD25,09/16/21,PDB,PDB project study 25,17
AB01,10/27/18,ABC1,ABC1 project study 1,8
AB02,10/07/22,ABC1,ABC1 project study 2,21
AB03,07/26/22,ABC1,ABC1 project study 3,19
AB04,01/17/22,ABC1,ABC1 project study 4,22
AB05,08/22/18,ABC1,ABC1 project study 5,11
AB06,08/14/21,ABC1,ABC1 project study 6,23
AB07,04/17/21,ABC1,ABC1 project study 7,12
AB08,07/13/21,ABC1,ABC1 project study 8,3
AB09,08/18/22,ABC1,ABC1 project study 9,23
AB10,11/22/22,ABC1,ABC1 project study 10,18
AB11,02/06/21,ABC1,ABC1 project study 11,12
AB12,08/06/23,ABC1,ABC1 project study 12,9
AB13,11/01/20,ABC1,ABC1 project study 13,2
AB14,10/21/22,ABC1,ABC1 project study 14,6
AB15,09/18/18,ABC1,ABC1 project study 15,3
AB16,10/25/20,ABC1,ABC1 project study 16,7
AB17,12/22/21,ABC1,ABC1 project study 17,17
AB18,10/28/21,ABC1,ABC1 project study 18,3
AB19,11/27/18,ABC1,ABC1 project study 19,10
AB20,04/01/18,ABC1,ABC1 project study 20,23
AB21,12/04/19,ABC1,ABC1 project study 21,6
AB22,08/31/22,ABC1,ABC1 project study 22,12
AB23,05/25/21,ABC1,ABC1 project study 23,13
AB24,05/17/19,ABC1,ABC1 project study 24,17
AB25,06/16/18,ABC1,ABC1 project study 25,9
AC01,11/11/21,ABC2,ABC2 project study 1,20
AC02,03/22/21,ABC2,ABC2 project study 2,3
AC03,08/12/21,ABC2,ABC2 project study 3,4
AC04,09/29/20,ABC2,ABC2 project study 4,5
AC05,08/24/21,ABC2,ABC2 project study 5,16
AC06,06/11/20,ABC2,ABC2 project study 6,20
AC07,09/08/23,ABC2,ABC2 project study 7,8
AC08,07/03/20,ABC2,ABC2 project study 8,8
AC09,06/04/21,ABC2,ABC2 project study 9,18
AC10,03/26/21,ABC2,ABC2 project study 10,14
AC11,05/22/18,ABC2,ABC2 project study 11,11
AC12,01/15/18,ABC2,ABC2 project study 12,21
AC13,10/15/22,ABC2,ABC2 project study 13,13
AC14,07/21/21,ABC2,ABC2 project study 14,1
AC15,02/04/21,ABC2,ABC2 project study 15,8
AC16,08/16/18,ABC2,ABC2 project study 16,16
AC17,07/15/22,ABC2,ABC2 project study 17,20
AC18,04/06/19,ABC2,ABC2 project study 18,12
AC19,07/03/19,ABC2,ABC2 project study 19,1
AC20,08/24/21,ABC2,ABC2 project study 20,22
AC21,04/02/18,ABC2,ABC2 project study 21,19
AC22,07/09/23,ABC2,ABC2 project study 22,22
AC23,06/02/22,ABC2,ABC2 project study 23,3
AC24,01/02/22,ABC2,ABC2 project study 24,24
AC25,04/01/19,ABC2,ABC2 project study 25,14
AD01,12/20/22,ABC3,ABC3 project study 1,4
AD02,07/20/18,ABC3,ABC3 project study 2,13
AD03,08/14/22,ABC3,ABC3 project study 3,7
AD04,11/28/20,ABC3,ABC3 project study 4,21
AD05,07/20/19,ABC3,ABC3 project study 5,10
AD06,10/15/21,ABC3,ABC3 project study 6,22
AD07,10/04/18,ABC3,ABC3 project study 7,9
AD08,10/19/21,ABC3,ABC3 project study 8,20
AD09,02/09/21,ABC3,ABC3 project study 9,24
AD10,07/28/20,ABC3,ABC3 project study 10,16
AD11,05/01/22,ABC3,ABC3 project study 11,20
AD12,02/18/19,ABC3,ABC3 project study 12,13
AD13,08/27/23,ABC3,ABC3 project study 13,14
AD14,04/17/21,ABC3,ABC3 project study 14,20
AD15,11/14/18,ABC3,ABC3 project study 15,12
AD16,03/16/21,ABC3,ABC3 project study 16,16
AD17,02/13/20,ABC3,ABC3 project study 17,15
AD18,02/23/20,ABC3,ABC3 project study 18,14
AD19,07/20/21,ABC3,ABC3 project study 19,18
AD20,05/26/19,ABC3,ABC3 project study 20,16
AD21,09/14/18,ABC3,ABC3 project study 21,13
AD22,07/15/23,ABC3,ABC3 project study 22,5
AD23,04/01/21,ABC3,ABC3 project study 23,10
AD24,02/27/22,ABC3,ABC3 project study 24,4
AD25,12/07/23,ABC3,ABC3 project study 25,8
