key,value
modify_toml.title,"2. pyproject.tomlを修正しましょう"
modify_toml.error.project_not_found,"プロジェクトディレクトリが見つかりません。前のチュートリアルを先に完了してください。"
modify_toml.error.toml_not_found,"pyproject.tomlが見つかりません。前のチュートリアルを先に完了してください。"
modify_toml.error.toml_decode,"tomlとしてデコードできませんでした。正しく記述されていますか？ {}"
modify_toml.update_python.instruction,"mcpライブラリを使用するにはPython 3.10が必要なので、最小Pythonバージョンを更新する必要があります。"
modify_toml.update_python.modify,"requires_pythonを修正してください"
modify_toml.script_entry.instruction,"また、pyproject.tomlファイルにスクリプトエントリを追加する必要があります。"
modify_toml.script_entry.add,"[project]の下に以下を追加してください："
modify_toml.script_entry.explanation,"この修正により、実行するエントリーポイントが指定されます。"
modify_toml.script_entry.detail,"mcp_weatherは./srcフォルダから検索され、その後mcp_weather > mainが実行されます"
modify_toml.current_content,"現在のpyproject.tomlの内容："
modify_toml.menu.prompt,"以下のいずれかを選択してください："
modify_toml.menu.edit,"1. ファイルを編集する"
modify_toml.menu.check,"2. 変更が正しいか確認する"
modify_toml.menu.editor,"3. エディタを変更する"
modify_toml.menu.exit,"4. 終了する"
modify_toml.menu.choice,"選択肢を入力してください（1-4）："
modify_toml.editor.opening,"{}でファイルを開いています..."
modify_toml.editor.opened,"ファイルがエディタで開かれました。変更を加えてファイルを保存してください。"
modify_toml.editor.check_after,"保存後、変更が正しいか確認できます。"
modify_toml.editor.failed,"ファイルをエディタで開けませんでした。もう一度お試しください。"
modify_toml.check.success,"正解です！スクリプトエントリを正常に追加しました。"
modify_toml.check.test,"コマンドが動作するかテストしてみましょう："
modify_toml.check.next_tutorial,"あ！mcp_weather:mainというエントリーポイントを追加しましたが、main関数がありません！\n次のチュートリアルで修正しましょう"
modify_toml.check.script_incorrect,"スクリプトエントリが正しくありません。もう一度お試しください。"
modify_toml.check.section_missing,"[project.scripts]セクションがありません。もう一度お試しください。"
modify_toml.editor.available,"利用可能なエディタ："
modify_toml.editor.vscode,"1. VS Code (code)"
modify_toml.editor.sublime,"2. Sublime Text (subl)"
modify_toml.editor.nano,"3. Nano (nano)"
modify_toml.editor.vim,"4. Vim (vim)"
modify_toml.editor.choice,"選択肢を入力してください（1-4）："
modify_toml.check.field_missing,"プロジェクトに必要なフィールド{}がありません"
