key,value
implement_weather.warning,"前のMakeServerチュートリアルを完了しましたか？"
implement_weather.step1.title,"ステップ1：ヘルパー関数の追加"
implement_weather.step1.intro1,"前のサーバーは動作していますが、あまり役に立ちません。"
implement_weather.step1.intro2,"もっと実用的にしましょう。"
implement_weather.step1.intro3,"まず、National Weather Service APIと対話するためのヘルパー関数を追加します。"
implement_weather.step1.intro4,"これらの関数は、HTTPリクエストを作成し、レスポンスをフォーマットするのに役立ちます。"
implement_weather.step1.todo.title,"以下の作業が必要です："
implement_weather.step1.todo.1,"1. 必要なインポートを追加する"
implement_weather.step1.todo.2,"2. API定数を定義する"
implement_weather.step1.todo.3,"3. APIリクエスト用のヘルパー関数を作成する"
implement_weather.step1.todo.4,"4. レスポンスフォーマッターを作成する"
implement_weather.step1.add_code,"ファイルの先頭に以下のコードを追加してください："
implement_weather.step1.dependency,"プロジェクトの依存関係にhttpxを追加することを忘れないでください！"
implement_weather.step2.title,"ステップ2：Weather Alertsツールの実装"
implement_weather.step2.intro1,"list_toolsを修正し、get_alerts機能を実装します。"
implement_weather.step2.intro2,"これにより、ユーザーは米国のどの州の天気警報も取得できるようになります。"
implement_weather.step2.intro3,"前のチュートリアルのget_weather関数はあまり役に立たないので、削除します。"
implement_weather.step2.intro4,"また、call_tool関数を修正して、どのツールを呼び出すべきかを決定します。"
implement_weather.step2.replace_list,"既存のlist_toolsを以下に置き換えてください："
implement_weather.step2.replace_call,"また、既存のcall_toolを置き換え、get_alertsを追加してください："
implement_weather.step3.title,"ステップ3：Forecastツールの追加"
implement_weather.step3.intro1,"最後に、詳細な天気予報を取得するためのget_forecastツールを追加します。"
implement_weather.step3.intro2,"このツールは緯度と経度を使用して、場所固有の予報を取得します。"
implement_weather.step3.add_list,"これをlist_tools関数に追加してください（tools.extend内）："
implement_weather.step3.add_impl,"そして、この新しいツールの実装を追加してください："
implement_weather.step_complete,"ステップ{}が完了しました！"
implement_weather.press_continue,"➤ 任意のキーを押して続行"
