key,value
hello_mcp.title,"Welcome to HelloMcp Tutorial"
hello_mcp.intro1,"Model Context Protocol (MCP) is an open protocol that standardizes how applications provide context to LLMs."
hello_mcp.intro2,"Think of MCP like a USB-C port for AI applications - it provides a standardized way to connect AI models to different data sources and tools."
hello_mcp.intro3,"MCP helps you build agents and complex workflows on top of LLMs by providing:"
hello_mcp.feature1,"• Pre-built integrations that your LLM can directly plug into"
hello_mcp.feature2,"• Flexibility to switch between LLM providers and vendors"
hello_mcp.feature3,"• Best practices for securing your data within your infrastructure"
hello_mcp.more_info,"For more detailed information about MCP, please check the tutorial description at:"
hello_mcp.choose_host,"Now, let's choose your MCP host. The host is the application that will use MCP to interact with various tools and data sources."
hello_mcp.available_options,"Available options:"
hello_mcp.option1,"➤ 1. Claude Desktop - Anthropic's AI assistant with MCP support"
hello_mcp.option2,"➤ 2. Cursor - AI-powered code editor with MCP integration"
hello_mcp.option3,"➤ 3. Custom - Set up MCP for your own application"
hello_mcp.enter_choice,"Enter the number of your choice:"
hello_mcp.choice1,"Great choice! We'll set up MCP for Claude Desktop."
hello_mcp.choice2,"Excellent! We'll configure MCP for Cursor."
hello_mcp.choice3,"Perfect! We'll set up a custom MCP configuration."
hello_mcp.invalid_choice,"Invalid choice. Please select 1, 2, or 3."
hello_mcp.step1.title,"Step 1: Create MCP Configuration File"
hello_mcp.step1.welcome,"Welcome to the HelloMcp tutorial! We'll help you set up Model Context Protocol (MCP) with your preferred host."
hello_mcp.step1.intro,"First, let's create a basic MCP configuration file. This file will be used to configure MCP for your chosen host."
hello_mcp.step1.location,"The configuration file will be created at the following location based on your operating system:"
hello_mcp.step1.structure,"Let's create a basic configuration file structure:"
hello_mcp.step2.title,"Step 2: Configure MCP Servers"
hello_mcp.step2.intro,"Now that we have our basic configuration file, let's add the filesystem server to enable file operations."
hello_mcp.step2.update,"Update your configuration file with the following content:"
hello_mcp.step2.reminder,"Remember to replace 'username' with your actual username"
hello_mcp.step2.explanation,"This configuration enables the filesystem server, which allows MCP to interact with your files."
hello_mcp.step3.title,"Step 3: Install Required Dependencies"
hello_mcp.step3.intro,"To use the filesystem server, we need to install Node.js and the required npm package."
hello_mcp.step3.instruction,"First, ensure you have Node.js installed. Then run:"
hello_mcp.step3.restart,"After installation, restart your application to apply the changes."
hello_mcp.step3.completion,"You should now see the hammer icon (🔨) in the bottom right corner of the input box."
hello_mcp.step_complete,"You've completed step {}!"
hello_mcp.press_continue,"➤ Press any key to continue"
