Variable,Assertion Type,Code Cell,Line Number
df,DATASET__read_csv,2,3
nbtest_tmpvar_0,DATASET__head,3,1
nbtest_tmpvar_1,DATASET__info,4,1
nbtest_tmpvar_2,DATASET__any,5,1
df.shape,DATASET__ATTRIBUTE_ACCESS,6,1
nbtest_tmpvar_3,DATASET__describe,7,1
i,PRINT__print,8,2
df[f'{i}'].value_counts(),UNKNOWN__print_call,8,3
nbtest_tmpvar_4,UNKNOWN__pairplot,9,3
nbtest_tmpvar_4,UNKNOWN__show,9,6
nbtest_tmpvar_4,UNKNOWN__figure,10,2
nbtest_tmpvar_4,UNKNOWN__heatmap,10,3
nbtest_tmpvar_4,UNKNOWN__title,10,4
nbtest_tmpvar_4,UNKNOWN__show,10,5
df.corr().abs()['DEATH_EVENT'].nlargest(15),UNKNOWN__print_call,11,1
col_reduced,UNKNOWN__SINGLE_VAR,12,2
x_train,DATASET__train_test_split,14,2
x_test,DATASET__train_test_split,14,2
y_train,DATASET__train_test_split,14,2
y_test,DATASET__train_test_split,14,2
nbtest_tmpvar_4,MODEL_ARCH__fit,16,3
cm,MODEL_PERF__confusion_matrix,16,5
nbtest_tmpvar_5,UNKNOWN__plot,16,7
nbtest_tmpvar_5,UNKNOWN__show,16,8
"accuracy_score(y_test, y_pred)",MODEL_PERF__accuracy_score,16,10
roc_auc,MODEL_PERF__auc,17,4
nbtest_tmpvar_5,UNKNOWN__figure,17,5
nbtest_tmpvar_5,UNKNOWN__plot,17,6
nbtest_tmpvar_5,UNKNOWN__plot,17,7
nbtest_tmpvar_5,UNKNOWN__xlim,17,8
nbtest_tmpvar_5,UNKNOWN__ylim,17,9
nbtest_tmpvar_5,UNKNOWN__xlabel,17,10
nbtest_tmpvar_5,UNKNOWN__ylabel,17,11
nbtest_tmpvar_5,UNKNOWN__title,17,12
nbtest_tmpvar_5,UNKNOWN__legend,17,13
nbtest_tmpvar_5,UNKNOWN__show,17,14
"sklearn.metrics.roc_auc_score(y_test, y_pred)",MODEL_PERF__roc_auc_score,17,15
nbtest_tmpvar_5,MODEL_ARCH__fit,18,3
cm,MODEL_PERF__confusion_matrix,18,5
nbtest_tmpvar_6,UNKNOWN__plot,18,7
nbtest_tmpvar_6,UNKNOWN__show,18,8
"accuracy_score(y_test, y_pred)",MODEL_PERF__accuracy_score,18,10
roc_auc,MODEL_PERF__auc,19,4
nbtest_tmpvar_6,UNKNOWN__figure,19,5
nbtest_tmpvar_6,UNKNOWN__plot,19,6
nbtest_tmpvar_6,UNKNOWN__plot,19,7
nbtest_tmpvar_6,UNKNOWN__xlim,19,8
nbtest_tmpvar_6,UNKNOWN__ylim,19,9
nbtest_tmpvar_6,UNKNOWN__xlabel,19,10
nbtest_tmpvar_6,UNKNOWN__ylabel,19,11
nbtest_tmpvar_6,UNKNOWN__title,19,12
nbtest_tmpvar_6,UNKNOWN__legend,19,13
nbtest_tmpvar_6,UNKNOWN__show,19,14
"sklearn.metrics.roc_auc_score(y_test, y_pred)",MODEL_PERF__roc_auc_score,19,15
nbtest_tmpvar_6,MODEL_ARCH__fit,20,3
cm,MODEL_PERF__confusion_matrix,20,5
nbtest_tmpvar_7,UNKNOWN__plot,20,7
nbtest_tmpvar_7,UNKNOWN__show,20,8
"accuracy_score(y_test, y_pred)",MODEL_PERF__accuracy_score,20,10
roc_auc,MODEL_PERF__auc,21,4
nbtest_tmpvar_7,UNKNOWN__figure,21,5
nbtest_tmpvar_7,UNKNOWN__plot,21,6
nbtest_tmpvar_7,UNKNOWN__plot,21,7
nbtest_tmpvar_7,UNKNOWN__xlim,21,8
nbtest_tmpvar_7,UNKNOWN__ylim,21,9
nbtest_tmpvar_7,UNKNOWN__xlabel,21,10
nbtest_tmpvar_7,UNKNOWN__ylabel,21,11
nbtest_tmpvar_7,UNKNOWN__title,21,12
nbtest_tmpvar_7,UNKNOWN__legend,21,13
nbtest_tmpvar_7,UNKNOWN__show,21,14
"sklearn.metrics.roc_auc_score(y_test, y_pred)",MODEL_PERF__roc_auc_score,21,15
nbtest_tmpvar_7,MODEL_ARCH__fit,22,3
cm,MODEL_PERF__confusion_matrix,22,5
nbtest_tmpvar_8,UNKNOWN__plot,22,7
nbtest_tmpvar_8,UNKNOWN__show,22,8
"accuracy_score(y_test, y_pred)",MODEL_PERF__accuracy_score,22,10
roc_auc,MODEL_PERF__auc,23,4
nbtest_tmpvar_8,UNKNOWN__figure,23,5
nbtest_tmpvar_8,UNKNOWN__plot,23,6
nbtest_tmpvar_8,UNKNOWN__plot,23,7
nbtest_tmpvar_8,UNKNOWN__xlim,23,8
nbtest_tmpvar_8,UNKNOWN__ylim,23,9
nbtest_tmpvar_8,UNKNOWN__xlabel,23,10
nbtest_tmpvar_8,UNKNOWN__ylabel,23,11
nbtest_tmpvar_8,UNKNOWN__title,23,12
nbtest_tmpvar_8,UNKNOWN__legend,23,13
nbtest_tmpvar_8,UNKNOWN__show,23,14
"sklearn.metrics.roc_auc_score(y_test, y_pred)",MODEL_PERF__roc_auc_score,23,15
nbtest_tmpvar_8,MODEL_ARCH__fit,24,3
cm,MODEL_PERF__confusion_matrix,24,5
nbtest_tmpvar_9,UNKNOWN__plot,24,7
nbtest_tmpvar_9,UNKNOWN__show,24,8
"accuracy_score(y_test, y_pred)",MODEL_PERF__accuracy_score,24,10
roc_auc,MODEL_PERF__auc,25,4
nbtest_tmpvar_9,UNKNOWN__figure,25,5
nbtest_tmpvar_9,UNKNOWN__plot,25,6
