key,value
hello_mcp.title,"HelloMcp 튜토리얼에 오신 것을 환영합니다"
hello_mcp.intro1,"Model Context Protocol (MCP)는 애플리케이션이 LLM에 컨텍스트를 제공하는 방식을 표준화하는 오픈 프로토콜입니다."
hello_mcp.intro2,"MCP는 AI 애플리케이션을 위한 USB-C 포트와 같습니다 - AI 모델을 다양한 데이터 소스와 도구에 연결하는 표준화된 방법을 제공합니다."
hello_mcp.intro3,"MCP는 다음과 같은 기능을 통해 LLM 위에 에이전트와 복잡한 워크플로우를 구축할 수 있게 도와줍니다:"
hello_mcp.feature1,"• LLM이 직접 연결할 수 있는 사전 구축된 통합 기능"
hello_mcp.feature2,"• LLM 제공자와 벤더 간의 유연한 전환"
hello_mcp.feature3,"• 인프라 내에서 데이터를 보호하기 위한 모범 사례"
hello_mcp.more_info,"MCP에 대한 자세한 정보는 다음 튜토리얼 설명을 확인하세요:"
hello_mcp.choose_host,"이제 MCP 호스트를 선택해보세요. 호스트는 MCP를 사용하여 다양한 도구와 데이터 소스와 상호작용하는 애플리케이션입니다."
hello_mcp.available_options,"사용 가능한 옵션:"
hello_mcp.option1,"➤ 1. Claude Desktop - MCP를 지원하는 Anthropic의 AI 어시스턴트"
hello_mcp.option2,"➤ 2. Cursor - MCP 통합이 가능한 AI 기반 코드 에디터"
hello_mcp.option3,"➤ 3. Custom - 자신만의 애플리케이션을 위한 MCP 설정"
hello_mcp.enter_choice,"선택 번호를 입력하세요:"
hello_mcp.choice1,"좋은 선택입니다! Claude Desktop을 위한 MCP를 설정하겠습니다."
hello_mcp.choice2,"훌륭합니다! Cursor를 위한 MCP를 구성하겠습니다."
hello_mcp.choice3,"완벽합니다! 사용자 정의 MCP 구성을 설정하겠습니다."
hello_mcp.invalid_choice,"잘못된 선택입니다. 1, 2, 또는 3을 선택해주세요."
hello_mcp.step1.title,"1단계: MCP 설정 파일 생성"
hello_mcp.step1.welcome,"HelloMcp 튜토리얼에 오신 것을 환영합니다! 선택하신 호스트에 Model Context Protocol (MCP)를 설정하는 것을 도와드리겠습니다."
hello_mcp.step1.intro,"먼저, 기본 MCP 설정 파일을 생성하겠습니다. 이 파일은 선택하신 호스트에 MCP를 구성하는 데 사용됩니다."
hello_mcp.step1.location,"운영체제에 따라 설정 파일이 다음 위치에 생성됩니다:"
hello_mcp.step1.structure,"기본 설정 파일 구조를 만들어보겠습니다:"
hello_mcp.step2.title,"2단계: MCP 서버 구성"
hello_mcp.step2.intro,"기본 설정 파일이 생성되었으니, 파일 작업을 가능하게 하는 파일시스템 서버를 추가해보겠습니다."
hello_mcp.step2.update,"설정 파일을 다음 내용으로 업데이트하세요:"
hello_mcp.step2.reminder,"'username'을 실제 사용자 이름으로 변경하는 것을 잊지 마세요"
hello_mcp.step2.explanation,"이 설정은 파일시스템 서버를 활성화하여 MCP가 파일과 상호작용할 수 있게 합니다."
hello_mcp.step3.title,"3단계: 필요한 의존성 설치"
hello_mcp.step3.intro,"파일시스템 서버를 사용하기 위해서는 Node.js와 필요한 npm 패키지를 설치해야 합니다."
hello_mcp.step3.instruction,"먼저 Node.js가 설치되어 있는지 확인한 후 다음을 실행하세요:"
hello_mcp.step3.restart,"설치 후 변경사항을 적용하기 위해 애플리케이션을 재시작하세요."
hello_mcp.step3.completion,"이제 입력 상자의 오른쪽 하단에 망치 아이콘 (🔨)이 표시되어야 합니다."
hello_mcp.step_complete,"{}단계를 완료했습니다!"
hello_mcp.press_continue,"➤ 계속하려면 아무 키나 누르세요"
